"","V1","V2"
"pereiopod",71.2729413937344,181
"pereopod",349.511051973971,789
"pereopods",70.3526889208701,106
"perpendicular",34.5500768301972,45
"phallic",40.5404431368499,100
"phallus",62.3000058015772,151
"pharyngeal",49.2484373633104,97
"pharynx",26.2665339361069,61
"philippines",50.8004498664935,57
"philisca",24.9667234391666,44
"pholcus",85.4472678130462,226
"photo",340.067297848023,437
"photograph",200.951628483091,236
"photographed",97.4177475929632,92
"photographs",124.769983180065,202
"photos",163.657308031235,250
"phyllonorycter",77.9521900608957,151
"plate",192.731847162546,734
"plates",57.2632722611507,132
"pleonite",50.8402856820423,91
"pleopod",100.624251671485,206
"pleotelson",32.4260498188585,61
"plot",48.5129272973952,45
"point",78.7085460859734,161
"pointed",22.8225335630465,45
"pointing",27.7915293132329,48
"pore",74.1476694717554,179
"pores",83.176311717104,193
"portion",104.75277606938,344
"position",58.8380791165651,93
"postabdomen",35.0711299924068,72
"posterior",592.450739169349,1670
"posteriorly",23.1545526140637,47
"postero",15.6908303718266,35
"posterolateral",30.808157842691,64
"pre",33.0961319230855,81
"predicted",33.450494252534,56
"prep",121.527768396473,272
"presence",29.2137513531334,45
"present",58.7948124751286,107
"preserved",120.494073587505,216
"primary",44.942837385725,67
"principal",56.4946511094173,60
"prins",29.531192269755,64
"pro",19.9583958792896,42
"process",97.5980698695732,337
"processes",22.8514958807001,53
"procursus",63.2417597235243,177
"profile",157.339635403486,211
"projection",37.3772386050676,103
"prolateral",177.062768767088,670
"pronotum",206.700643793757,563
"propodeum",79.3868743456831,145
"propodus",53.4448925196467,111
"prosoma",41.7346847989851,94
"prostomium",20.654719569953,55
"prothoracic",26.6069832338554,59
"prothorax",23.1496957975652,48
"protibia",22.2770241491145,49
"prov",76.0542298186169,163
"province",137.295115090218,206
"proximal",55.0853830926322,128
"psechrus",50.3144089206921,108
"pupa",64.7377291982122,129
"puparia",48.5380544931221,57
"puparium",65.538047622775,72
"pvs",32.466442407715,39
"pygidium",54.7974424937982,66
"pygofer",58.7747895671153,222
"pygophore",41.2125558934948,64
"pyrgus",16.929716645782,42
"qcaz",48.7421914910388,79
"queensland",41.5108988009627,43
"ramus",24.2737895727239,49
"range",57.7402447294778,104
"rathbun",62.1970967870093,87
"rays",36.4354738353789,55
"recorded",57.5600403635321,57
"records",127.562178847261,123
"refer",37.3403353003846,51
"region",297.085698956584,863
"relationship",41.0467291582291,41
"released",24.7333062074863,44
"remainder",31.7560849449885,41
"remarks",36.4110407684832,41
"removed",72.0973442473671,182
"represent",116.709926640067,162
"represents",51.9979105756672,66
"reproductive",36.2213724258203,69
"reserve",45.960888600059,51
"respectively",79.9183336668685,156
"retrolateral",198.24833873186,817
"rica",46.0116419329195,45
"ridge",47.9041786171168,104
"ring",20.2491359195783,44
"rio",56.257752944929,76
"river",176.945573327608,251
"rmca",36.14408571833,81
"rmnh",38.2739040337161,62
"robustus",37.6923101704855,39
"romiz",93.6700341954993,53
"rostral",44.1113587154726,82
"rostrum",49.8520547923698,108
"rounded",30.3800057022512,60
"row",61.6547110802917,149
"rta",32.7945026108833,90
"rumf",42.6602573011569,84
"russia",52.7670373635819,81
"sac",71.7384460931197,98
"sample",47.7081068099649,57
"sampling",59.4133490972338,51
"san",42.2743567538374,60
"santa",34.152675950922,39
"são",42.5668840488461,65
"scale",767.147400007982,4430
"scalebar",42.8005074796782,49
"scalebars",50.9462565222762,50
"scales",268.154859415073,575
"scanning",62.6164619360591,163
"scape",26.7877077306344,60
"schematic",51.3807373864222,105
"sclerite",44.8388488083831,117
"sclerites",84.7777936266107,111
"sclerotized",15.3807262962795,41
"sculpture",42.1549460730795,89
"scutellum",50.3781119806343,71
"scutum",49.383269287501,95
"sea",103.613241913635,124
"second",135.949845290391,419
"secondary",32.316689113285,39
"section",100.619848197631,217
"segment",193.08859994716,682
"segments",169.954489789572,586
"sem",128.262504001875,350
"seminal",20.8358083771542,40
"sensory",25.3317487873352,56
"series",68.925497276091,109
"seta",141.97513568309,392
"setae",256.676790253055,988
"seven",32.9551078066172,38
"several",35.0406281273331,43
"sex",34.5586619337473,59
"shape",72.5693105572006,118
"shaped",56.8591438313041,86
"shell",76.2760931567112,110
"shield",100.128767501086,223
"short",56.8820375472375,132
"show",42.2323144691866,71
"showing",367.079960363474,1247
"shown",109.791424443638,200
"shows",30.0436123849443,52
"sichuan",41.1050500246349,62
"side",231.51458209865,651
"sierra",29.3874645903321,38
"similar",39.6835486149293,51
"similis",30.7608785475199,43
"simon",19.5192463519868,37
"simple",35.4370151937374,76
"single",39.8009196910704,66
"siphamia",46.2851241265131,37
"site",104.721047920018,132
"situ",57.2644135328295,94
"sixth",20.1426695849802,53
"size",79.4593188399631,104
"skull",36.933749867736,47
"slide",210.196459074349,444
"slightly",57.808939925457,123
"smeringopus",41.0799242616151,88
"smf",48.3644054651976,60
"smith",39.5710191239999,47
"smooth",31.2159829347494,55
"snout",36.354250268802,51
"sobarocephala",176.966604807855,113
"solid",29.7511428573939,42
"somite",23.9964030591229,61
"song",60.8151578625191,71
"south",140.470379763905,241
"southern",78.4480629777024,104
"spain",30.0803538681532,58
"spec",397.104086202762,404
"species",619.056797645621,1618
"specific",42.470025397124,46
"specimen",331.587788067264,802
"specimens",295.12896427355,590
"spectrogram",46.6748280106427,45
"spermatheca",120.782614618535,336
"spermathecae",54.2685194371446,103
"sphrigodellus",22.142944030147,42
"spicules",49.0120682843407,64
"spine",56.8058729633882,114
"spines",73.7449530081491,166
"spiracle",28.9536470445847,81
"spondylurus",32.8859507344625,47
"spp",193.373517092873,328
"square",65.3153990818215,73
"squares",69.3223593543559,87
"ssp",44.1858300632192,61
"sta",64.4804438209677,82
"stage",108.802157548253,143
"stages",44.0355747649402,40
"star",52.6554988371464,73
"stars",34.0325871620583,46
"state",98.5749317358913,161
"station",55.3410544639265,57
"sternal",24.4158626070408,54
"sternite",136.981238492459,495
"sternites",46.1626878224191,117
"sternum",88.7987643776837,256
"stigmatic",39.7554867384002,124
"stimpson",43.0712056735184,43
"stn",63.4447575763779,89
"str",40.1171461891713,57
"stream",45.9672453437115,49
"strongly",27.9745281764207,43
"structure",108.413700945841,234
"study",80.0369100327183,94
"style",51.7741248998941,186
"sub",29.4404589578193,48
"subadult",40.3999035151527,66
"subcapitulum",39.667671121569,49
"subgenital",81.2595015999327,304
"surface",140.850329748639,353
"surstylus",53.859722057482,149
"svl",96.3252368566568,146
"symbols",53.7387868889445,74
"synalpheus",36.5821417982845,56
"syntype",110.6529950585,122
"syntypes",58.2167402563567,40
"system",78.3617769192299,171
"tadpole",31.7723747124657,47
"tail",75.7928398971657,140
"taiwan",39.1052397215533,50
"taken",59.2336139414988,75
"tarsal",54.5729261912237,166
"tarsus",106.252704301917,274
"teeth",47.966847140008,113
"tegmen",71.1392531405949,181
"telson",84.8789152974031,239
"terga",34.5216065836063,71
"tergite",146.973893107297,491
"tergites",92.5445427605244,166
"tergum",33.4754078717607,84
"terminal",79.5531729054696,185
"terminalia",258.930425817874,660
"thailand",71.4967686924586,112
"third",104.564798132124,363
"thoracic",90.8881169472239,276
"thorax",112.663021779727,284
"three",99.0735848185209,172
"tibia",123.695430637461,383
"tibial",46.3739814914385,131
"tip",98.3220531575762,230
"tooth",62.9659237246367,155
"top",83.152586383258,192
"total",73.0285368461154,135
"transverse",38.5783966938888,97
"triangle",56.0898131723579,72
"triangles",64.5329730336584,92
"triangular",24.1578370089589,36
"trichobothria",34.2255870036606,78
"trichobothrium",32.4528608970815,73
"tritonymph",34.964458548357,49
"trochanter",39.4540463069101,80
"tube",59.9065297844398,137
"tubercle",27.936581685147,52
"tubercles",28.4324580901122,53
"tubular",19.5957763051581,41
"turkey",94.3736310036424,122
"two",224.313018975145,432
"type",341.09413311135,828
"typical",55.6625634224749,69
"ultimate",27.9869879675959,51
"ummz",61.6421336742117,60
"uncini",38.9331137553977,79
"underside",34.3968788565927,78
"unknown",35.4480883211162,44
"upper",123.300215172274,258
"uropod",114.507173766282,235
"uropods",47.1444635293586,87
"urosome",44.7681667825173,68
"usnm",214.387327736223,340
"usnment",105.139261687544,143
"valley",34.6788901088701,40
"valve",102.421177069401,318
"variation",102.938112906588,153
"various",48.1952828389158,45
"venation",47.3500631711779,50
"venezuela",44.2176126634507,55
"venter",72.3465444895911,83
"ventral",761.36439031661,6519
"ventrally",33.2570946879704,62
"ventralview",64.0937368482687,169
"ventrolateral",21.5757354468084,53
"versus",38.2664433686306,47
"vertex",21.856263141445,48
"vesicle",39.7874716409693,85
"vietnam",30.2505335791408,47
"view",1416.57153004844,19121
"views",307.596057182533,877
"vii",70.7463818479799,193
"viii",135.658604922935,465
"visible",27.7371287672645,40
